slug,name,country,category,tags,founded,funding_stage,modality,form_factor,interface_depth,indication,target_user,regulatory_stage,description,analyst_note,website,profile_url,logo_url,related_slugs
brainco,BrainCo,China,Consumer Neurotech,Assistive Technology; Wellness,2015,Series B,ExG,,,Rehabilitation,,Non-medical,"Developing non-invasive brain-computer interface wearables for cognitive training, education, and assistive control using EEG-based neural signal decoding.",BrainCo spans two distinct product lines ‚Äî a consumer EEG headband for cognitive training and an EMG-driven prosthetics division for upper-limb rehabilitation ‚Äî making it one of the few neurotech companies operating across both the consumer wellness and medical device segments simultaneously. This breadth creates a broader addressable market but diffuses its positioning relative to pure-play competitors in either vertical.,https://www.brainco.tech/,https://www.neurofounders.co/startups/brainco,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69510708be114ba3ebc47741_brainco_logo.jpeg,morph-labs; cogitat; cognision; muse; braintrip
brainkey,BrainKey,USA,Neuroimaging,Monitoring; Aging,2018,Seed,(f)MRI,,,General brain health,,Non-medical,Visualizing users' MRI scans in 3D and delivers personalized brain health insights-including brain age and lifestyle recommendations.,"BrainKey is positioned around a consumer-facing brain-age metric derived from AI analysis of standard MRI scans, a concept that straddles wellness and clinical neuroimaging without fully committing to either regulatory pathway. The seed-stage company sits in a segment adjacent to clinical AI neuroimaging tools like Brainomix and BrainQuant but is differentiated by its direct-to-consumer orientation and lifestyle-health framing.",https://www.brainkey.ai,https://www.neurofounders.co/startups/brainkey,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc78fe6d68eb1e8c4a277_brainkeyai_logo.jpeg,deepspin; neuro42; purple-gaze; comind; connectome-health
brainomix,Brainomix,UK,Neuroimaging,Decision Support; Clinical Workflows,2010,Series C+,Software,,,Stroke,,FDA cleared (510k),"Developing AI-driven neuroimaging software to support rapid, standardized analysis of brain scans for stroke and other neurological conditions.","Brainomix is one of the most commercially advanced AI neuroimaging companies in stroke, with eight FDA clearances, Series C+ funding, and a secondary lung-imaging platform developed in partnership with Boehringer Ingelheim. Its dual-platform strategy across stroke and pulmonary fibrosis is atypical for neurotech companies and diversifies its revenue base, though it also dilutes its positioning as a pure neurotechnology play.",https://www.brainomix.com/,https://www.neurofounders.co/startups/brainomix,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951078ddc6d668f9a449b78_brainomix_logo.jpeg,cercare-medical; cerebriu; ceribell; cogitat; sevaro
brainpatch,BrainPatch,UK,Consumer Neurotech,Wellness; Therapeutics,2018,Seed,tDCS/tES,,,Wellness,,Non-medical,Developing a non-invasive neurostimulation headset that induces meditative states to support stress reduction and mental wellness.,"BrainPatch sits in the consumer neurostimulation wellness segment with a multimodal headset combining vagus nerve stimulation, vestibular stimulation, and auditory activation for meditation and stress reduction. Its CE-marked, direct-to-consumer positioning places it among a growing cohort of wellness-grade brain-stimulation devices, though the combination of three stimulation modalities in one device is technically distinctive relative to single-modality competitors.",https://brainpatch.ai//,https://www.neurofounders.co/startups/brainpatch,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b59095f9fdaab4220ff41_1630586585163.jpeg,mave-health; fisher-wallace-labs; marbles-health; neuroelectrics; flow-neuroscience
brainphonics,Brainphonics,Belgium,Diagnostics and Assessment,Diagnostics; Decision Support,2024,Non-dilutive,EEG,,,Auditory,,Investigational,Developing EEG-based objective hearing assessment software that maps brain responses to speech and everyday sounds.,"Brainphonics is best understood as a clinical audiology tool built on neural speech tracking, a niche that sits apart from the broader EEG diagnostics space by targeting objective hearing assessment in non-cooperating populations. Its KU Leuven pedigree and clinical validation at UZ Leuven position it closer to translation than most grant-stage EEG startups, though commercialization remains early.",https://brainphonics.com,https://www.neurofounders.co/startups/brainphonics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69ce7e2717e99c2d92dab37c_corgee_hearing_logo.jpeg,cognixion; aural-analytics; control-bionics; neuromod; corticale
brainquant,Brainquant,Switzerland,Neuroimaging,Diagnostics; Aging,2025,Pre-seed,(f)MRI,,,Dementia/impairment,,Preclinical,Developing AI-powered MRI software for early non-invasive detection and diagnosis of neurodegenerative diseases.,"BrainQuant appears positioned to fill a specific gap in the dementia diagnostics pipeline by offering a software-only ASL-MRI analysis layer that approximates PET-level perfusion data without radioactive tracers. As a freshly launched Wyss Center spin-off with no external funding round, it sits at the earliest stage of commercial translation in a competitive AI neuroimaging field.",https://www.brainquant.ch,https://www.neurofounders.co/startups/brainquant,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69ce7b6f00cd728b5be6db5f_brainquant_logo.jpeg,brainsightai; cercare-medical; linus-health; neurotrack; altoida
brainscan,BrainScan,Poland,Neuroimaging,Decision Support; Clinical Workflows,2016,Seed,Software,,,Multi-indication,,CE-Marked,Providing AI-assisted analysis of non-contrast brain CT scans to detect and prioritize intracranial pathologies for clinical workflows.,"BrainScan is positioned as a broad-spectrum AI brain CT analyzer detecting 30 pathologies from non-contrast scans, a wider diagnostic scope than most competitors that focus on single conditions like stroke or hemorrhage. With CE Class IIa marking and a hardware-agnostic SaaS delivery model, it targets integration into existing radiology workflows across European and UK hospital systems.",https://www.brainscan.ai/,https://www.neurofounders.co/startups/brainscan,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b5316d23231bc74d67c76_brainscan_ai_logo.jpeg,cordance-medical; cahira-technologies; cercare-medical; cerebriu
brainscope,BrainScope,USA,Diagnostics and Assessment,Diagnostics; Decision Support,2006,Series B,EEG,,,Head injury,,FDA cleared (510k),Developing non-invasive EEG-based diagnostic devices to rapidly assess traumatic brain injury and support clinical decision-making at the point of care.,"BrainScope holds the distinction of being one of the first FDA-approved AI/ML devices in neurology, with its EEG-based traumatic brain injury assessment demonstrating 99% sensitivity for intracranial hemorrhage detection and documented 50% reductions in unnecessary CT scans at major health systems. Its PMA-level regulatory status is a significant competitive moat in the point-of-care brain injury assessment segment.",https://www.brainscope.com/,https://www.neurofounders.co/startups/brainscope,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695108430a4fe4e0243fbaf4_brainscope_logo.jpeg,sense-neuro-diagnostics; oculogica; neuro42; ceribell; braintrip
brainsightai,BrainSightAI,India,Neuroimaging,Decision Support; Clinical Workflows,2019,Seed,(f)MRI,,,Multi-indication,,Other approval,"Generating personalized, AI-based connectome maps from MRI (VoxelBox) to support surgical planning and psychiatric diagnostics.","BrainSightAI is differentiated by its AI-driven connectome mapping from standard MRI data, serving a primarily Indian hospital network of 40+ institutions for surgical planning and psychiatric diagnostics. Its regional positioning in an underserved neurosurgery market gives it a distinct deployment context from US- and Europe-focused neuroimaging AI companies, though it limits near-term addressable market scale.",https://www.brainsightai.com,https://www.neurofounders.co/startups/brainsightai,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc7a6486cf10d66a2a16b_brainsightai_logo.jpeg,cercare-medical; cognision; braincheck; braintrip; ceribell
brainsway,BrainsWay,Israel,Neuromodulation,Therapeutics; Clinical Workflows,2003,Public,TMS,,,Psychiatry,,FDA cleared (510k),Developing non-invasive deep transcranial magnetic stimulation systems for the treatment of psychiatric and neurological disorders.,"BrainsWay is the most broadly FDA-cleared deep TMS company, with distinct clearances across MDD, OCD, smoking cessation, and anxiety, plus a recent adolescent expansion, giving it the widest approved indication set of any TMS system on the market. As a publicly traded company with established clinical reimbursement pathways, it is best understood as an incumbent platform in non-invasive psychiatric neuromodulation rather than an emerging startup.",https://www.brainsway.com/,https://www.neurofounders.co/startups/brainsway,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695108c4ba674be83372511f_brainsway_logo.jpeg,ampa-health; nexstim; magnus-medical; neuroelectrics; wave-neuroscience
braintrip,BrainTrip,Slovenia,Diagnostics and Assessment,Data Infrastructure; Machine Learning,2019,Seed,EEG,,,Dementia/impairment,,CE-Marked,Providing EEG-based brain mapping and neurofeedback software to support personalized assessment and training of brain function.,"BrainTrip sits in the practitioner-facing neurofeedback software segment, translating quantitative EEG data into brain maps and personalized training protocols for clinicians, coaches, and performance practitioners. Its positioning is best understood as clinical workflow tooling for the existing neurofeedback practitioner base rather than a novel biomarker or therapeutic platform.",https://braintrip.net/,https://www.neurofounders.co/startups/braintrip,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951091db35f8760f5e211d7_braintrip_logo.jpeg,retispec; viewmind; vistim-labs; cognision; braincheck
brnlit-ai,BRNLIT AI,Switzerland,Consumer Neurotech,Wellness; Monitoring,2025,Pre-seed,Light/sound,,,Wellness,,Non-medical,Consumer app that uses a one-time personalized EEG measurement to generate AI-tailored light signals intended to improve focus and mental performance.,"BRNLIT AI sits in the lightweight consumer neuro-personalization segment, using a one-time EEG measurement to generate tailored light signals for focus and performance. It is more of a personalized wellness app concept than a defensible neurotechnology platform at this stage.",https://www.brnlit.ai/en,https://www.neurofounders.co/startups/brnlit-ai,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69d37fca8e51f664db653ce5_brnlit_ai_logo.jpeg,vagustim; braincapture; eysz; kneu-health; idun-technologies
bia-neuroscience,Bía Neuroscience,Canada,Consumer Neurotech,Monitoring; Closed-loop,2021,Bootstrapped,fNIRS,,,Sleep,,Non-medical,Developing a smart sleep mask that uses fNIRS-based neurofeedback and audio cues to monitor and improve sleep quality.,"Bía Neuroscience sits in the consumer sleep neurotechnology segment, where brain sensing is used to support wellness-oriented sleep feedback and personalization. Its positioning is differentiated by the use of fNIRS in a sleep-mask form factor, placing it closer to adaptive sleep wearables than conventional EEG-based sleep trackers.",https://getbia.com,https://www.neurofounders.co/startups/bia-neuroscience,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d296aa94d30f13b0edc68_bianeuroscience_logo.jpeg,somnee; mendi; muse; nextsense; idun-technologies
